TIMESTAMP,NODE,EASTING,NORTHING,FLOW_ACTUAL_15M,SAT_BANDINGS,DETECTOR_NO,TOTAL_DETECTOR_NO,DETECTOR_RATE
2019-06-25T10:52:00Z,32/187,532887.060,196482.250,379,>=100%,1,1,1
2019-06-25T10:52:00Z,32/192,532919.000,196390.000,469,0-79%,1,1,1
2019-06-25T10:52:00Z,32/194,534322.000,193437.000,164,90-99%,2,6,0.33
2019-06-25T10:52:00Z,32/195,534513.000,193662.000,293,0-79%,4,4,1
2019-06-25T10:52:00Z,32/228,531794.000,194049.000,522,0-79%,2,2,1
2019-06-25T10:52:00Z,32/229,531936.000,194275.000,246,80-89%,4,5,0.8
2019-06-25T10:52:00Z,32/999,.000,.000,197,0-79%,2,2,1
2019-06-25T10:53:00Z,01/114,525043.080,182063.420,344,0-79%,2,2,1
2019-06-25T10:53:00Z,01/115,525136.780,182041.430,281,0-79%,3,3,1
2019-06-25T10:53:00Z,01/116,524862.780,182125.720,410,0-79%,4,5,0.8
2019-06-25T10:53:00Z,01/117,524774.320,182184.600,314,0-79%,2,2,1
2019-06-25T10:53:00Z,01/118,524700.500,182243.580,320,0-79%,2,2,1
2019-06-25T10:53:00Z,01/120,524603.800,182328.340,383,0-79%,2,2,1
2019-06-25T10:53:00Z,01/121,524438.580,182363.600,350,0-79%,2,2,1
2019-06-25T10:53:00Z,01/126,523856.570,182509.780,506,0-79%,4,4,1
2019-06-25T10:53:00Z,01/132,525277.470,181381.930,184,0-79%,3,4,0.75
2019-06-25T10:53:00Z,01/135,525418.930,182388.280,245,0-79%,5,5,1
2019-06-25T10:53:00Z,01/136,525676.420,182195.290,206,0-79%,2,4,0.5
2019-06-25T10:53:00Z,01/137,525145.010,182522.610,193,>=100%,4,4,1
2019-06-25T10:53:00Z,01/223,526757.200,182550.970,498,80-89%,4,4,1
2019-06-25T10:53:00Z,01/224,526727.920,183297.360,406,90-99%,4,4,1
2019-06-25T10:53:00Z,01/225,527460.000,183380.000,631,>=100%,2,3,0.67
2019-06-25T10:53:00Z,01/226,525809.660,183183.580,831,90-99%,4,4,1
2019-06-25T10:53:00Z,01/227,526039.310,182876.760,344,80-89%,2,4,0.5
2019-06-25T10:53:00Z,01/229,526474.090,182342.730,487,0-79%,3,4,0.75
2019-06-25T10:53:00Z,01/230,526830.000,183180.000,369,80-89%,4,4,1
2019-06-25T10:53:00Z,01/233,527167.720,182237.400,290,0-79%,3,4,0.75
2019-06-25T10:53:00Z,01/234,526575.790,182874.040,360,0-79%,4,4,1
2019-06-25T10:53:00Z,01/235,527109.200,182830.850,686,0-79%,3,3,1
2019-06-25T10:53:00Z,01/237,527344.420,182639.370,611,0-79%,3,3,1
2019-06-25T10:53:00Z,01/244,525769.310,181633.240,367,0-79%,4,4,1
2019-06-25T10:53:00Z,01/267,525144.430,182240.440,263,0-79%,4,4,1
2019-06-25T10:53:00Z,01/285,528530.000,183440.000,305,0-79%,1,1,1
2019-06-25T10:53:00Z,01/286,528230.000,183580.000,291,0-79%,2,2,1
2019-06-25T10:53:00Z,01/294,526367.330,182479.430,416,0-79%,1,2,0.5
2019-06-25T10:53:00Z,01/339,525495.900,181822.850,563,0-79%,1,1,1
2019-06-25T10:53:00Z,01/340,525483.620,181822.050,552,0-79%,1,1,1
2019-06-25T10:53:00Z,01/380,525287.130,182010.950,500,0-79%,2,2,1
2019-06-25T10:53:00Z,01/411,527479.370,182688.160,319,0-79%,3,3,1
2019-06-25T10:53:00Z,01/437,526576.400,182215.100,283,>=100%,4,4,1
2019-06-25T10:53:00Z,01/462,525579.930,181729.820,242,0-79%,4,4,1
2019-06-25T10:53:00Z,01/463,524023.900,182433.900,369,0-79%,1,1,1
2019-06-25T10:53:00Z,01/465,524218.800,182404.600,384,0-79%,1,1,1
2019-06-25T10:53:00Z,01/477,526044.480,181658.010,205,0-79%,3,3,1
2019-06-25T10:53:00Z,01/550,526589.790,183498.090,586,0-79%,1,1,1
2019-06-25T10:53:00Z,01/557,527228.770,182777.010,893,0-79%,1,1,1
2019-06-25T10:53:00Z,01/585,526955.000,182388.000,365,0-79%,3,3,1
2019-06-25T10:53:00Z,02/001,526777.720,184117.370,740,0-79%,3,6,0.5
2019-06-25T10:53:00Z,02/003,529018.400,183667.110,637,90-99%,2,2,1
2019-06-25T10:53:00Z,02/004,528794.580,184059.380,298,90-99%,3,3,1
2019-06-25T10:53:00Z,02/006,528912.910,183866.330,373,>=100%,4,4,1
2019-06-25T10:53:00Z,02/007,529727.020,184872.220,598,80-89%,3,3,1
2019-06-25T10:53:00Z,02/008,529258.170,184301.450,530,90-99%,3,3,1
2019-06-25T10:53:00Z,02/009,529094.500,184040.540,643,0-79%,3,3,1
2019-06-25T10:53:00Z,02/010,529195.020,184188.630,547,>=100%,3,3,1
2019-06-25T10:53:00Z,02/022,529211.350,183371.400,272,0-79%,1,1,1
2019-06-25T10:53:00Z,02/024,529310.930,183225.790,402,0-79%,3,3,1
2019-06-25T10:53:00Z,02/026,525081.170,186056.130,564,90-99%,5,5,1
2019-06-25T10:53:00Z,02/027,525173.710,185853.150,511,80-89%,4,4,1
2019-06-25T10:53:00Z,02/028,525668.130,185339.350,497,0-79%,6,6,1
2019-06-25T10:53:00Z,02/029,526025.550,185112.980,524,0-79%,5,6,0.83
2019-06-25T10:53:00Z,02/030,526324.430,184677.940,527,0-79%,6,6,1
2019-06-25T10:53:00Z,02/031,526374.440,184607.720,889,80-89%,2,4,0.5
2019-06-25T10:53:00Z,02/032,526654.600,184324.890,687,0-79%,6,6,1
2019-06-25T10:53:00Z,02/033,529172.100,183084.910,565,0-79%,2,3,0.67
2019-06-25T10:53:00Z,02/035,527684.670,184784.330,308,0-79%,3,3,1
2019-06-25T10:53:00Z,02/036,526370.230,185768.650,274,0-79%,3,3,1
2019-06-25T10:53:00Z,02/039,528960.000,184270.000,351,0-79%,4,4,1
2019-06-25T10:53:00Z,02/040,528943.930,184703.450,382,0-79%,2,5,0.4
2019-06-25T10:53:00Z,02/042,525242.280,183862.340,273,0-79%,4,4,1
2019-06-25T10:53:00Z,02/043,525070.230,184088.140,347,0-79%,2,4,0.5
2019-06-25T10:53:00Z,02/065,528607.120,183468.220,444,0-79%,4,4,1
2019-06-25T10:53:00Z,02/074,528660.300,183614.670,372,0-79%,4,4,1
2019-06-25T10:53:00Z,02/075,528082.010,183662.810,713,0-79%,2,2,1
2019-06-25T10:53:00Z,02/077,528217.820,183687.280,317,0-79%,4,4,1
2019-06-25T10:53:00Z,02/081,527514.270,184343.640,303,90-99%,4,4,1
2019-06-25T10:53:00Z,02/082,525807.180,183888.240,281,0-79%,4,4,1
2019-06-25T10:53:00Z,02/084,529417.830,183464.030,380,0-79%,3,3,1
2019-06-25T10:53:00Z,02/090,528583.560,185829.960,365,0-79%,4,4,1
2019-06-25T10:53:00Z,02/092,528328.860,184624.140,225,0-79%,1,4,0.25
2019-06-25T10:53:00Z,02/094,525426.870,184363.990,366,0-79%,2,3,0.67
2019-06-25T10:53:00Z,02/095,525524.130,184604.040,461,>=100%,2,2,1
2019-06-25T10:53:00Z,02/097,525527.630,184777.080,357,0-79%,4,4,1
2019-06-25T10:53:00Z,02/098,525520.680,184868.500,466,0-79%,2,2,1
2019-06-25T10:53:00Z,02/099,529370.960,184212.060,283,0-79%,3,3,1
2019-06-25T10:53:00Z,02/100,529325.780,183636.480,532,0-79%,1,1,1
2019-06-25T10:53:00Z,02/101,529230.000,183800.000,523,0-79%,1,1,1
2019-06-25T10:53:00Z,02/110,525352.630,185608.340,538,90-99%,2,3,0.67
2019-06-25T10:53:00Z,02/111,525215.874,185756.529,692,0-79%,3,3,1
2019-06-25T10:53:00Z,02/114,526460.000,184520.000,792,>=100%,2,4,0.5
2019-06-25T10:53:00Z,02/116,525520.000,185480.000,506,0-79%,5,5,1
2019-06-25T10:53:00Z,02/118,526632.150,184105.590,275,0-79%,1,1,1
2019-06-25T10:53:00Z,02/119,530050.000,184390.000,279,0-79%,4,4,1
2019-06-25T10:53:00Z,02/125,529560.000,183500.000,250,0-79%,4,5,0.8
2019-06-25T10:53:00Z,02/128,528980.000,185300.000,344,0-79%,3,3,1
2019-06-25T10:53:00Z,02/129,529010.000,185190.000,238,0-79%,3,4,0.75
2019-06-25T10:53:00Z,02/130,528960.000,184560.000,339,0-79%,3,3,1
2019-06-25T10:53:00Z,02/131,528800.000,184710.000,241,0-79%,4,4,1
2019-06-25T10:53:00Z,02/132,529000.000,185060.000,408,0-79%,2,2,1
2019-06-25T10:53:00Z,02/133,528990.000,184940.000,277,0-79%,1,2,0.5
2019-06-25T10:53:00Z,02/134,528970.000,184820.000,352,0-79%,2,2,1
2019-06-25T10:53:00Z,02/135,528171.100,184411.100,263,0-79%,3,3,1
2019-06-25T10:53:00Z,02/136,528450.000,184290.000,353,0-79%,4,4,1
2019-06-25T10:53:00Z,02/137,527980.000,184580.000,265,0-79%,3,3,1
2019-06-25T10:53:00Z,02/139,529450.000,184530.000,393,0-79%,2,2,1
2019-06-25T10:53:00Z,02/149,529199.930,182926.090,378,0-79%,1,1,1
2019-06-25T10:53:00Z,02/160,525163.900,183966.500,498,0-79%,2,2,1
2019-06-25T10:53:00Z,02/162,525420.000,184230.000,366,0-79%,1,2,0.5
2019-06-25T10:53:00Z,02/163,529169.100,183912.300,549,0-79%,1,1,1
2019-06-25T10:53:00Z,02/171,526609.850,183878.010,327,0-79%,5,5,1
2019-06-25T10:53:00Z,02/172,528810.000,186010.000,1080,0-79%,2,4,0.5
2019-06-25T10:53:00Z,02/174,527030.000,185400.000,272,0-79%,5,5,1
2019-06-25T10:53:00Z,02/176,529039.860,184001.280,626,0-79%,1,1,1
2019-06-25T10:53:00Z,02/177,528900.000,184100.000,232,0-79%,2,2,1
