TIMESTAMP,NODE,EASTING,NORTHING,FLOW_ACTUAL_15M,SAT_BANDINGS,DETECTOR_NO,TOTAL_DETECTOR_NO,DETECTOR_RATE
2019-06-22T23:00:00Z,08/028,531650.830,180012.320,164,0-79%,8,8,1
2019-06-22T23:00:00Z,08/029,531652.220,179704.960,106,0-79%,4,4,1
2019-06-22T23:00:00Z,08/030,531910.000,180260.000,207,0-79%,4,4,1
2019-06-22T23:00:00Z,08/031,532265.860,180161.330,256,0-79%,4,4,1
2019-06-22T23:00:00Z,08/032,532448.580,179758.850,393,>=100%,4,5,0.8
2019-06-22T23:00:00Z,08/033,532287.680,179601.320,304,0-79%,3,3,1
2019-06-22T23:00:00Z,08/034,532069.830,179708.940,128,0-79%,2,3,0.67
2019-06-22T23:00:00Z,08/036,531460.000,179300.000,277,0-79%,5,5,1
2019-06-22T23:00:00Z,08/038,531873.870,178741.890,858,0-79%,2,2,1
2019-06-22T23:00:00Z,08/042,531868.340,180010.240,89,0-79%,3,3,1
2019-06-22T23:00:00Z,08/045,532190.000,179510.000,311,0-79%,3,5,0.6
2019-06-22T23:00:00Z,08/051,532768.340,180309.520,304,0-79%,3,5,0.6
2019-06-22T23:00:00Z,08/052,532733.390,180253.610,327,0-79%,3,3,1
2019-06-22T23:00:00Z,08/054,533385.530,179387.200,439,0-79%,4,4,1
2019-06-22T23:00:00Z,08/055,532630.000,180160.000,329,0-79%,4,4,1
2019-06-22T23:00:00Z,08/056,532692.600,180201.600,345,0-79%,3,3,1
2019-06-22T23:00:00Z,08/078,532342.960,178971.490,880,0-79%,2,2,1
2019-06-22T23:00:00Z,08/079,532219.025,179011.088,519,0-79%,1,3,0.33
2019-06-22T23:00:00Z,08/083,531645.080,180187.990,324,0-79%,2,2,1
2019-06-22T23:00:00Z,08/090,532600.000,178980.000,321,0-79%,3,3,1
2019-06-22T23:00:00Z,08/091,532599.360,178968.690,861,0-79%,1,1,1
2019-06-22T23:00:00Z,08/092,531757.000,179327.000,390,0-79%,2,2,1
2019-06-22T23:00:00Z,08/093,532000.400,179056.500,440,0-79%,4,4,1
2019-06-22T23:00:00Z,08/094,531927.100,179117.800,362,>=100%,5,7,0.71
2019-06-22T23:00:00Z,08/103,531861.550,179198.740,271,0-79%,3,3,1
2019-06-22T23:00:00Z,08/127,531650.000,179174.000,247,0-79%,3,3,1
2019-06-22T23:00:00Z,08/153,532807.500,179219.500,365,0-79%,2,2,1
2019-06-22T23:00:00Z,08/159,532308.480,179822.920,256,0-79%,1,1,1
2019-06-22T23:00:00Z,08/208,532651.200,179414.600,271,0-79%,1,1,1
2019-06-22T23:00:00Z,08/210,532559.400,179538.500,241,0-79%,3,3,1
2019-06-22T23:00:00Z,08/215,531643.100,180507.900,489,0-79%,1,1,1
2019-06-22T23:00:00Z,08/216,532498.200,179865.600,441,0-79%,2,2,1
2019-06-22T23:00:00Z,08/218,532544.300,179747.100,410,0-79%,1,1,1
2019-06-22T23:00:00Z,08/234,533552.500,179961.900,647,0-79%,1,2,0.5
2019-06-22T23:00:00Z,08/235,533459.600,179655.800,64,0-79%,1,1,1
2019-06-22T23:00:00Z,08/236,533164.200,179173.800,681,0-79%,2,2,1
2019-06-22T23:00:00Z,08/251,532010.100,179234.300,493,0-79%,1,1,1
2019-06-22T23:00:00Z,08/256,531683.850,178438.750,513,0-79%,2,2,1
2019-06-22T23:00:00Z,08/257,531784.200,178637.900,339,0-79%,2,3,0.67
2019-06-22T23:00:00Z,08/265,532246.000,179943.000,358,0-79%,2,2,1
2019-06-22T23:00:00Z,08/274,532263.240,180052.280,296,0-79%,2,2,1
2019-06-22T23:00:00Z,08/280,532544.630,179984.790,453,0-79%,1,3,0.33
2019-06-22T23:00:00Z,08/284,531321.810,179400.220,307,0-79%,2,4,0.5
2019-06-22T23:00:00Z,08/293,533272.460,180072.180,144,0-79%,1,1,1
2019-06-22T23:00:00Z,08/306,533041.010,179033.040,357,0-79%,4,4,1
2019-06-22T23:00:00Z,08/308,533003.550,178956.580,399,0-79%,6,6,1
2019-06-22T23:00:00Z,08/311,532971.600,179064.830,421,0-79%,4,4,1
2019-06-22T23:00:00Z,08/313,532937.690,179002.030,495,0-79%,3,3,1
2019-06-22T23:00:00Z,08/323,533124.630,180146.740,174,0-79%,2,2,1
2019-06-22T23:00:00Z,08/328,532287.900,180288.200,91,0-79%,1,2,0.5
