TIMESTAMP,NODE,EASTING,NORTHING,FLOW_ACTUAL_15M,SAT_BANDINGS,DETECTOR_NO,TOTAL_DETECTOR_NO,DETECTOR_RATE
2019-06-23T19:45:00Z,01/358,530072.400,179574.600,27,0-79%,1,1,1
2019-06-23T19:45:00Z,01/359,527870.990,180894.110,621,0-79%,5,5,1
2019-06-23T19:45:00Z,01/360,527711.010,180880.230,531,0-79%,6,7,0.86
2019-06-23T19:45:00Z,01/361,527685.860,180955.470,399,0-79%,6,6,1
2019-06-23T19:45:00Z,01/362,527774.780,180978.440,434,0-79%,7,7,1
2019-06-23T19:45:00Z,01/363,527837.970,180985.590,559,0-79%,7,7,1
2019-06-23T19:45:00Z,01/364,527878.000,180989.000,437,0-79%,6,6,1
2019-06-23T19:45:00Z,01/369,528837.660,178830.790,794,>=100%,4,4,1
2019-06-23T19:45:00Z,01/371,525914.890,180992.020,220,0-79%,1,2,0.5
2019-06-23T19:45:00Z,01/372,530355.290,180083.400,306,>=100%,4,4,1
2019-06-23T19:45:00Z,01/376,530128.570,180098.070,205,0-79%,3,3,1
2019-06-23T19:45:00Z,01/379,528292.680,181075.590,238,0-79%,1,2,0.5
2019-06-23T19:45:00Z,01/383,527966.530,181013.390,34,0-79%,1,2,0.5
2019-06-23T19:45:00Z,01/386,529335.330,181401.370,74,0-79%,2,2,1
2019-06-23T19:45:00Z,01/387,528558.280,181125.330,216,0-79%,2,2,1
2019-06-23T19:45:00Z,01/391,529217.640,179643.310,170,0-79%,2,2,1
2019-06-23T19:45:00Z,01/392,529179.530,179768.400,146,0-79%,2,6,0.33
2019-06-23T19:45:00Z,01/405,526351.710,181463.210,611,0-79%,3,3,1
2019-06-23T19:45:00Z,01/406,528843.980,182150.260,91,0-79%,1,1,1
2019-06-23T19:45:00Z,01/408,529437.000,180640.350,218,0-79%,3,3,1
2019-06-23T19:45:00Z,01/409,528760.980,181170.970,217,0-79%,2,2,1
2019-06-23T19:45:00Z,01/410,528927.110,181207.341,190,0-79%,2,2,1
2019-06-23T19:45:00Z,01/412,530291.200,180609.880,361,0-79%,1,2,0.5
2019-06-23T19:45:00Z,01/413,530210.610,180539.080,392,0-79%,1,2,0.5
2019-06-23T19:45:00Z,01/436,527357.720,181714.860,337,0-79%,3,4,0.75
2019-06-23T19:45:00Z,01/451,530431.210,180357.980,3821,80-89%,3,3,1
2019-06-23T19:45:00Z,01/456,527937.100,180712.600,718,0-79%,2,2,1
2019-06-23T19:45:00Z,01/459,529661.199,177965.073,673,0-79%,1,1,1
2019-06-23T19:45:00Z,01/461,529737.800,177994.600,479,0-79%,3,3,1
2019-06-23T19:45:00Z,01/469,528511.500,179798.200,623,0-79%,7,7,1
2019-06-23T19:45:00Z,01/473,528608.400,179504.200,1168,0-79%,1,1,1
2019-06-23T19:45:00Z,01/474,528607.200,179490.000,954,0-79%,1,1,1
2019-06-23T19:45:00Z,01/478,528608.442,178576.473,165,0-79%,4,4,1
2019-06-23T19:45:00Z,01/480,529727.000,180362.000,504,0-79%,1,1,1
2019-06-23T19:45:00Z,01/481,529681.141,180335.542,305,0-79%,1,1,1
2019-06-23T19:45:00Z,01/483,530088.200,180226.600,175,0-79%,4,4,1
2019-06-23T19:45:00Z,01/488,529112.300,178950.300,261,0-79%,2,2,1
2019-06-23T19:45:00Z,01/489,529211.300,178841.400,421,0-79%,2,2,1
2019-06-23T19:45:00Z,01/490,529466.800,178656.400,20,0-79%,1,2,0.5
2019-06-23T19:45:00Z,01/496,530181.520,179447.420,470,0-79%,1,1,1
2019-06-23T19:45:00Z,01/497,528912.600,178779.500,245,0-79%,3,3,1
2019-06-23T19:45:00Z,01/498,526725.800,181245.750,173,0-79%,1,2,0.5
2019-06-23T19:45:00Z,01/500,529119.700,178952.130,647,0-79%,1,1,1
2019-06-23T19:45:00Z,01/507,530888.290,180764.870,487,0-79%,2,2,1
2019-06-23T19:45:00Z,01/511,529585.160,178296.320,152,0-79%,4,4,1
2019-06-23T19:45:00Z,01/523,529963.450,180390.570,224,0-79%,3,4,0.75
2019-06-23T19:45:00Z,01/524,530053.060,180593.690,252,0-79%,2,2,1
2019-06-23T19:45:00Z,01/525,530042.870,180620.760,208,0-79%,2,2,1
2019-06-23T19:45:00Z,01/527,530209.090,180342.860,449,0-79%,2,2,1
2019-06-23T19:45:00Z,01/544,530063.197,179674.419,70,0-79%,2,2,1
2019-06-23T19:45:00Z,01/561,526466.097,181590.565,485,0-79%,6,6,1
2019-06-23T19:45:00Z,01/570,527584.000,180938.000,659,0-79%,1,1,1
2019-06-23T19:45:00Z,01/573,527603.000,179757.000,121,0-79%,1,2,0.5
2019-06-23T19:45:00Z,01/574,527616.000,179682.000,469,0-79%,2,2,1
2019-06-23T19:45:00Z,01/588,530162.570,179915.221,495,0-79%,1,1,1
2019-06-23T19:45:00Z,01/593,529186.000,179179.000,480,0-79%,1,2,0.5
2019-06-23T19:45:00Z,01/594,529189.000,180325.000,285,0-79%,2,3,0.67
2019-06-23T19:45:00Z,01/598,526635.000,180984.000,231,0-79%,5,5,1
2019-06-23T19:45:00Z,01/601,530570.000,180583.000,468,0-79%,3,3,1
2019-06-23T19:45:00Z,01/606,529910.000,179700.000,45,0-79%,1,1,1
2019-06-23T19:45:00Z,02/002,530337.320,181588.090,813,0-79%,1,1,1
2019-06-23T19:45:00Z,02/014,529570.090,182473.670,573,0-79%,7,9,0.78
2019-06-23T19:45:00Z,02/015,529667.280,182533.410,782,0-79%,3,3,1
2019-06-23T19:45:00Z,02/016,529414.060,182383.120,547,0-79%,1,1,1
2019-06-23T19:45:00Z,02/017,530072.930,182803.380,734,0-79%,3,5,0.6
2019-06-23T19:45:00Z,02/018,530227.950,182904.430,397,80-89%,4,5,0.8
2019-06-23T19:45:00Z,02/019,529257.200,182317.420,248,0-79%,3,3,1
2019-06-23T19:45:00Z,02/020,529760.000,182590.000,616,90-99%,4,5,0.8
2019-06-23T19:45:00Z,02/021,530335.910,182983.560,646,0-79%,2,3,0.67
2019-06-23T19:45:00Z,02/025,531556.910,181654.740,202,0-79%,2,4,0.5
2019-06-23T19:45:00Z,02/034,529221.590,182484.210,194,0-79%,2,5,0.4
2019-06-23T19:45:00Z,02/044,530570.000,181390.530,324,0-79%,2,4,0.5
2019-06-23T19:45:00Z,02/045,530512.100,181530.050,302,>=100%,5,7,0.71
2019-06-23T19:45:00Z,02/049,530430.140,183006.480,674,80-89%,2,2,1
2019-06-23T19:45:00Z,02/050,530225.500,181951.640,358,0-79%,3,3,1
2019-06-23T19:45:00Z,02/052,530122.153,182097.262,371,0-79%,3,3,1
2019-06-23T19:45:00Z,02/055,530463.990,181681.490,622,0-79%,3,4,0.75
2019-06-23T19:45:00Z,02/063,529972.230,182301.630,309,0-79%,4,4,1
2019-06-23T19:45:00Z,02/064,529963.220,182715.490,516,0-79%,2,3,0.67
2019-06-23T19:45:00Z,02/067,530802.910,182289.030,167,0-79%,4,4,1
2019-06-23T19:45:00Z,02/068,530620.290,182596.580,241,0-79%,3,3,1
2019-06-23T19:45:00Z,02/069,530426.910,182949.730,200,0-79%,1,3,0.33
2019-06-23T19:45:00Z,02/070,530964.960,181615.020,313,0-79%,1,2,0.5
2019-06-23T19:45:00Z,02/071,531141.380,181612.810,217,0-79%,4,4,1
2019-06-23T19:45:00Z,02/072,530607.750,181547.130,339,80-89%,1,3,0.33
2019-06-23T19:45:00Z,02/078,531014.380,181988.550,260,0-79%,5,5,1
2019-06-23T19:45:00Z,02/080,530694.090,181845.420,284,0-79%,4,4,1
2019-06-23T19:45:00Z,02/085,529445.440,181698.010,242,0-79%,1,2,0.5
2019-06-23T19:45:00Z,02/086,529730.000,181930.000,382,0-79%,3,3,1
2019-06-23T19:45:00Z,02/088,529813.560,181818.150,65,0-79%,1,3,0.33
2019-06-23T19:45:00Z,02/089,529650.430,182046.720,15,0-79%,1,3,0.33
2019-06-23T19:45:00Z,02/091,530256.300,182470.140,61,0-79%,4,4,1
2019-06-23T19:45:00Z,02/103,529200.000,181850.000,136,0-79%,1,1,1
2019-06-23T19:45:00Z,02/105,530130.000,182420.000,45,0-79%,1,3,0.33
2019-06-23T19:45:00Z,02/123,529910.000,182250.000,71,0-79%,3,4,0.75
2019-06-23T19:45:00Z,02/141,530709.160,181561.480,298,0-79%,2,2,1
2019-06-23T19:45:00Z,02/142,530822.460,181586.520,321,0-79%,1,1,1
2019-06-23T19:45:00Z,02/143,529720.000,182640.000,157,80-89%,2,3,0.67
2019-06-23T19:45:00Z,02/144,529838.890,182638.000,573,0-79%,4,4,1
2019-06-23T19:45:00Z,02/164,530542.250,182761.650,419,0-79%,3,3,1
2019-06-23T19:45:00Z,02/169,530307.800,181873.200,539,0-79%,1,1,1
2019-06-23T19:45:00Z,02/170,530170.000,182030.000,384,0-79%,3,3,1
2019-06-23T19:45:00Z,02/178,529675.200,182714.390,176,0-79%,2,2,1
2019-06-23T19:45:00Z,02/188,530330.000,183460.000,305,0-79%,3,3,1
2019-06-23T19:45:00Z,02/193,530338.930,182969.330,709,0-79%,1,1,1
