TIMESTAMP,NODE,EASTING,NORTHING,FLOW_ACTUAL_15M,SAT_BANDINGS,DETECTOR_NO,TOTAL_DETECTOR_NO,DETECTOR_RATE
2019-06-23T14:44:00Z,25/226,517093.030,178046.010,422,0-79%,2,2,1
2019-06-23T14:44:00Z,25/244,517482.720,177339.645,353,0-79%,4,4,1
2019-06-23T14:44:00Z,25/273,513480.000,176786.000,908,0-79%,1,1,1
2019-06-23T14:44:00Z,25/274,513462.000,176772.000,799,0-79%,1,1,1
2019-06-23T14:44:00Z,26/020,507646.050,184830.310,231,0-79%,7,7,1
2019-06-23T14:44:00Z,26/057,511140.020,182168.050,210,0-79%,3,3,1
2019-06-23T14:44:00Z,26/079,506187.280,185406.850,329,0-79%,3,3,1
2019-06-23T14:44:00Z,26/086,507704.660,185080.920,435,0-79%,1,1,1
2019-06-23T14:44:00Z,26/113,510742.480,185107.680,681,0-79%,4,4,1
2019-06-23T14:44:00Z,26/162,511276.500,182588.300,252,0-79%,1,1,1
2019-06-23T14:44:00Z,26/163,511238.000,182455.500,300,0-79%,1,1,1
2019-06-23T14:44:00Z,27/017,518899.510,180436.410,325,0-79%,2,2,1
2019-06-23T14:44:00Z,27/018,517938.380,180823.740,656,0-79%,4,4,1
2019-06-23T14:44:00Z,27/019,517631.460,180697.710,593,0-79%,3,3,1
2019-06-23T14:44:00Z,27/020,516718.870,180445.360,337,>=100%,3,5,0.6
2019-06-23T14:44:00Z,27/022,516522.000,180394.320,443,0-79%,1,1,1
2019-06-23T14:44:00Z,27/026,516109.130,180284.390,408,0-79%,4,4,1
2019-06-23T14:44:00Z,27/029,515426.490,180184.110,623,0-79%,2,4,0.5
2019-06-23T14:44:00Z,27/033,514396.160,182236.630,420,90-99%,4,4,1
2019-06-23T14:44:00Z,27/034,513345.650,184614.230,528,0-79%,6,6,1
2019-06-23T14:44:00Z,27/040,520353.810,179851.760,382,0-79%,2,3,0.67
2019-06-23T14:44:00Z,27/043,515160.880,180116.890,449,0-79%,3,4,0.75
2019-06-23T14:44:00Z,27/044,517762.900,180731.530,204,80-89%,1,3,0.33
2019-06-23T14:44:00Z,27/048,520653.240,181496.290,648,0-79%,10,13,0.77
2019-06-23T14:44:00Z,27/049,521300.520,180082.270,522,0-79%,2,2,1
2019-06-23T14:44:00Z,27/052,520540.105,180051.517,383,0-79%,3,3,1
2019-06-23T14:44:00Z,27/053,520415.490,180057.740,638,0-79%,2,2,1
2019-06-23T14:44:00Z,27/055,520290.160,180064.030,425,80-89%,3,3,1
