TIMESTAMP,NODE,EASTING,NORTHING,FLOW_ACTUAL_15M,SAT_BANDINGS,DETECTOR_NO,TOTAL_DETECTOR_NO,DETECTOR_RATE
2019-06-22T15:53:00Z,29/050,514012.900,186078.820,585,0-79%,2,2,1
2019-06-22T15:53:00Z,29/057,514170.550,186304.260,535,0-79%,2,2,1
2019-06-22T15:53:00Z,29/062,513129.760,187772.300,309,0-79%,5,5,1
2019-06-22T15:53:00Z,29/063,513276.690,188050.060,409,0-79%,2,2,1
2019-06-22T15:53:00Z,29/067,515081.080,188278.750,338,90-99%,3,5,0.6
2019-06-22T15:53:00Z,29/072,515642.140,188685.830,459,>=100%,5,5,1
2019-06-22T15:53:00Z,29/084,515682.320,188431.060,408,0-79%,3,3,1
2019-06-22T15:53:00Z,29/085,515905.690,188151.080,356,0-79%,4,4,1
2019-06-22T15:53:00Z,29/087,513712.330,185636.210,632,0-79%,2,2,1
2019-06-22T15:53:00Z,29/089,514640.000,186864.850,318,0-79%,4,7,0.57
2019-06-22T15:53:00Z,29/093,512963.000,187740.350,191,0-79%,2,4,0.5
2019-06-22T15:53:00Z,29/106,516899.500,192261.900,527,0-79%,3,3,1
2019-06-22T15:53:00Z,31/115,535195.000,191597.000,270,0-79%,4,7,0.57
2019-06-22T15:53:00Z,32/001,533110.000,194090.000,567,0-79%,8,8,1
2019-06-22T15:53:00Z,32/002,534290.000,195800.000,534,>=100%,8,8,1
2019-06-22T15:53:00Z,32/003,534300.000,196298.000,587,>=100%,9,9,1
2019-06-22T15:53:00Z,32/008,534110.000,192420.000,450,>=100%,8,8,1
2019-06-22T15:53:00Z,32/009,534910.000,192300.000,617,0-79%,3,3,1
2019-06-22T15:53:00Z,32/014,531370.000,193340.000,467,0-79%,3,4,0.75
2019-06-22T15:53:00Z,32/015,532860.000,196570.000,300,0-79%,5,5,1
2019-06-22T15:53:00Z,32/016,535250.000,196210.000,487,>=100%,6,6,1
2019-06-22T15:53:00Z,32/018,534633.000,194018.000,321,0-79%,2,4,0.5
2019-06-22T15:53:00Z,32/020,532860.000,194850.000,445,0-79%,2,3,0.67
2019-06-22T15:53:00Z,32/021,535170.000,195190.000,279,0-79%,3,4,0.75
2019-06-22T15:53:00Z,32/030,535867.000,196057.000,589,0-79%,1,3,0.33
2019-06-22T15:53:00Z,32/031,533678.000,194598.000,503,0-79%,8,8,1
2019-06-22T15:53:00Z,32/037,534677.000,196260.000,683,0-79%,2,2,1
2019-06-22T15:53:00Z,32/039,534372.000,197479.000,607,0-79%,10,10,1
2019-06-22T15:53:00Z,32/042,533599.670,192426.430,267,0-79%,3,3,1
2019-06-22T15:53:00Z,32/048,535630.000,198824.000,238,0-79%,5,5,1
2019-06-22T15:53:00Z,32/052,534844.000,199720.000,485,0-79%,8,8,1
2019-06-22T15:53:00Z,32/054,534092.000,192250.000,492,>=100%,2,2,1
2019-06-22T15:53:00Z,32/055,534077.000,192096.000,492,0-79%,2,2,1
2019-06-22T15:53:00Z,32/056,534128.000,195267.000,758,0-79%,2,2,1
2019-06-22T15:53:00Z,32/061,534304.000,193598.000,424,0-79%,2,2,1
2019-06-22T15:53:00Z,32/065,532795.641,196392.709,634,0-79%,1,1,1
2019-06-22T15:53:00Z,32/066,532906.000,196401.000,771,0-79%,2,2,1
2019-06-22T15:53:00Z,32/069,535065.000,196231.000,431,90-99%,4,4,1
2019-06-22T15:53:00Z,32/071,537053.000,198733.000,330,0-79%,5,5,1
2019-06-22T15:53:00Z,32/083,534989.000,192468.000,523,0-79%,4,4,1
2019-06-22T15:53:00Z,32/084,533160.000,196600.000,809,0-79%,6,6,1
2019-06-22T15:53:00Z,32/085,535631.000,193776.000,848,0-79%,1,2,0.5
2019-06-22T15:53:00Z,32/089,532688.000,192539.000,411,>=100%,4,4,1
2019-06-22T15:53:00Z,32/091,532830.000,192556.000,551,0-79%,3,3,1
2019-06-22T15:53:00Z,32/092,534339.600,197301.600,917,90-99%,2,2,1
2019-06-22T15:53:00Z,32/093,534355.800,197316.800,775,0-79%,2,2,1
2019-06-22T15:53:00Z,32/094,536400.000,197110.000,313,0-79%,6,6,1
2019-06-22T15:53:00Z,32/095,535149.000,191857.000,430,0-79%,5,7,0.71
2019-06-22T15:53:00Z,32/098,534514.000,196266.000,352,80-89%,4,5,0.8
2019-06-22T15:53:00Z,32/099,534311.000,196735.000,717,0-79%,6,6,1
2019-06-22T15:53:00Z,32/100,535805.000,194441.000,392,0-79%,3,4,0.75
2019-06-22T15:53:00Z,32/105,532753.050,192574.250,128,0-79%,2,2,1
