TIMESTAMP,NODE,EASTING,NORTHING,FLOW_ACTUAL_15M,SAT_BANDINGS,DETECTOR_NO,TOTAL_DETECTOR_NO,DETECTOR_RATE
2019-06-22T09:43:00Z,28/068,519817.590,186593.850,476,0-79%,4,5,0.8
2019-06-22T09:43:00Z,28/069,523506.040,186136.420,444,0-79%,3,3,1
2019-06-22T09:43:00Z,28/070,523251.870,186509.200,381,0-79%,4,4,1
2019-06-22T09:43:00Z,28/072,522140.000,183050.000,582,0-79%,2,2,1
2019-06-22T09:43:00Z,28/076,523920.100,185584.800,267,0-79%,2,4,0.5
2019-06-22T09:43:00Z,28/077,522636.380,182963.620,464,0-79%,2,3,0.67
2019-06-22T09:43:00Z,28/079,518869.250,185220.060,586,0-79%,3,3,1
2019-06-22T09:43:00Z,28/083,522893.720,184623.230,396,0-79%,3,3,1
2019-06-22T09:43:00Z,28/084,516901.960,188546.650,484,0-79%,2,4,0.5
2019-06-22T09:43:00Z,28/089,523570.820,186028.300,366,0-79%,2,4,0.5
2019-06-22T09:43:00Z,28/091,518555.450,185237.090,563,0-79%,1,2,0.5
2019-06-22T09:43:00Z,28/093,523186.170,182742.450,374,0-79%,4,4,1
2019-06-22T09:43:00Z,28/095,520191.590,186639.610,375,0-79%,2,2,1
2019-06-22T09:43:00Z,28/105,521996.170,185055.270,852,0-79%,1,1,1
2019-06-22T09:43:00Z,28/106,522326.680,184713.730,377,0-79%,3,3,1
2019-06-22T09:43:00Z,28/108,524020.000,185447.590,187,0-79%,3,3,1
2019-06-22T09:43:00Z,28/118,518150.000,183900.000,360,0-79%,4,4,1
2019-06-22T09:43:00Z,28/120,524240.300,184303.010,413,0-79%,1,1,1
2019-06-22T09:43:00Z,28/121,524086.220,184131.560,180,0-79%,1,1,1
2019-06-22T09:43:00Z,28/124,521880.000,185260.000,453,0-79%,4,4,1
2019-06-22T09:43:00Z,28/126,519084.000,185035.000,629,0-79%,2,2,1
2019-06-22T09:43:00Z,28/130,518040.000,183500.000,321,80-89%,7,7,1
2019-06-22T09:43:00Z,28/131,523725.270,185832.960,265,0-79%,6,7,0.86
2019-06-22T09:43:00Z,28/135,517704.340,188966.570,472,0-79%,4,4,1
2019-06-22T09:43:00Z,28/139,519136.870,186084.570,516,0-79%,2,2,1
2019-06-22T09:43:00Z,28/140,519517.270,183658.530,440,0-79%,5,5,1
2019-06-22T09:43:00Z,28/146,523789.470,182851.990,284,0-79%,3,3,1
2019-06-22T09:43:00Z,28/147,516761.060,188419.270,385,0-79%,8,8,1
2019-06-22T09:43:00Z,28/149,521659.000,183524.000,409,0-79%,1,2,0.5
2019-06-22T09:43:00Z,28/156,521597.640,183297.530,243,0-79%,5,8,0.63
2019-06-22T09:43:00Z,28/157,523203.100,186571.900,351,0-79%,5,5,1
2019-06-22T09:43:00Z,28/165,521569.010,183457.840,383,0-79%,2,2,1
2019-06-22T09:43:00Z,28/169,518986.480,185819.830,292,0-79%,4,4,1
2019-06-22T09:43:00Z,28/170,518900.110,185385.440,390,90-99%,3,3,1
2019-06-22T09:43:00Z,28/174,519670.754,186583.722,760,0-79%,4,4,1
2019-06-22T09:43:00Z,28/178,518095.500,183409.600,345,0-79%,5,5,1
2019-06-22T09:43:00Z,28/185,520561.251,186469.229,610,0-79%,5,5,1
2019-06-22T09:43:00Z,28/190,520771.300,186330.700,727,0-79%,4,4,1
2019-06-22T09:43:00Z,28/191,520877.700,186270.200,803,90-99%,2,2,1
2019-06-22T09:43:00Z,28/192,520877.000,186257.100,548,0-79%,3,3,1
2019-06-22T09:43:00Z,28/193,520997.000,185429.000,280,0-79%,4,5,0.8
2019-06-22T09:43:00Z,28/194,520496.000,185530.000,232,0-79%,4,4,1
